name,location,founded,founders,tagline,website,description
Complyance,"London, UK",2022,Richa Kaul,Enterprise-grade compliance automation,https://complyance.com/,"Complyance is a modern GRC platform that uses tailored automation and agentic AI to increase enterprises' visibility and control over their compliance, risk, and third party management."
Conduct,"London, UK",2024,"JP Haas, Philipp Hoefer, Henry Thompson",Faster & safer ERP migrations,https://www.conduct-ai.com/,In stealth
Cortea,"Berlin, Germany",2024,"Valentin Neumann, Philipp Hövelmann",Accelerate your audits,https://www.cortea.ai/,"Envision a world where every audit is powered by AI, and every auditor is empowered to work on what matters.  Cortea is building this future with AI agents that automate routine work so auditors can focus on guiding businesses and safeguarding trust. "
Dash0,"Solingen, Germany",2023,"Mirko Novakovic, Miel Donkers, Marcel Birkner, Ben Blackmore, Michele Mancioppi","Observability, Simplified",https://www.dash0.com/,"Dash0 delivers OpenTelemetry-native observability that’s easy to start, effortless to troubleshoot, vendor-agnostic, and designed to control costs."
Duna,"Amsterdam, Netherlands; Berlin, Germany",2023,"David Schreiber, Duco van Lanschot",Next-generation KYB,https://duna.com/,"Duna is built for businesses where compliance matters. Its first product is a platform for compliant business identity. Over time, this will evolve in a shareable identity network. "
Everyday,"Paris, France",2025,Olivier Le Bas,Agents for gaming apps,,"Everyday is an AI-first entertainment company with the ambition to rethink how we build mobile game experiences and create products people come back to, every day."
Fern Labs,"London, UK",2024,"Ash Edwards, Alex Goddijn, Taylor Young",Making agents work,https://fern-labs.ai/,"Fern Labs is an infra/agent R&D startup based out of London. They build infrastructure that allows teams of agents to collaborate over long periods of time. Their platform, Fern, can be used to orchestrate groups of computer-using agents working independently on hard tasks like software development "
Foresight Works,"London, UK",2018,"Igor Shifrin, Dr. Atif Ansar",AI-enabled construction project management for major projects,https://www.foresight.works/,"Foresight’s major project management platform helps owners and contractors deliver major projects on-time and on-budget by automatically identifying priorities, risks, and action plans in Primavera P6 or Microsoft Project schedules. "
Fractile,"London, UK",2022,Walter Goodwin,Frontier model inference,https://www.fractile.ai/,"Fractile is building hardware to power the next decade of AI scaling, with a new chip that can run inference of the world's leading AI models 50x faster than GPUs, and at a fraction of the cost."
Frontier Health,"London, UK",2024,"Rachel Finegold, Amna Askari",Agentic co-workers for healthcare,https://www.frontierhealth.ai/,Frontier Health delivers AI agents to combat the global healthcare workforce crisis.
Get Vocal,"Paris, France",2023,"Roy Moussa, Antonin Bertin, Sebastião Zaragoza  ",Horizontal VoiceAI platform,https://www.getvocal.ai/,The world's first Graph-based Agent OS for omnichannel agents capable of advanced end-to-end enterprise functions 
Gradient Labs,"London, UK",2023,"Dimitri Masin, Danai Antoniou, Neal Lathia",AI customer support for financial services,https://gradient-labs.ai/,We automate complex customer support use cases with AI in regulated industries.
Inovia Bio,"London, UK",2023,"Antonio Nicolae, Imad Faghmous",AI for drug discovery,https://inovia.bio/,Inovia Bio is a TechBio startup that revolutionises the speed and safety of clinical development.
Integral,"Berlin, Germany",2022,"Lukas Zoerner, Anil Baykal",Tax issues rethought digitally,https://www.integral.de/de,"Integral offers you an all-in-one solution for accounting, tax consulting, annual financial statements, and payroll. With our partner tax consultant and intuitive platform, you save time and stay tax-compliant."
Interloom,"Munich, Germany",2024,"Fabian Jakobi, Jaime Madrid, Miha Erzen, Erik Collinder",Navigation system for work,https://interloom.com/en,"Interloom is building the next generation of agentic workflow software to transform how humans and AI collaborate on complex knowledge work. By combining a powerful knowledge graph with agent-based automation, Interloom enables teams to document, recall, and orchestrate workflows across systems—turn"
Intropy,"London, UK",2024,"Franziska Kirschner, YihKai Teh", AI for spareparts businesses,https://intropy.ai/,"Intropy helps spare parts businesses grow and optimise using AI. Our AI operates across inventory management and sales optimisation, and brings together siloed ERP, CRM, and other internal and external data to allow distributors and manufacturers to boost EBITDA fast."
Jack & Jill,"London, UK",2025,"Matthew Wilson, Saaras Mehan",Agentic teams for recruiting,https://jackandjill.ai/,Jack & Jill fix job search and hiring by combining the depth of understanding of a human recruiter with the scale of software. Jack is an AI agent that helps people find and land their dream jobs. Jill is an AI recruiter that works to find great talent for companies.
Juna AI,"Berlin, Germany",2024,"Christian Hardenberg, Matthias Auf der Mauer",Juna: AI agents to run factories,https://www.juna.ai/,We make industry smarter and greener with AI
Langdock,"Berlin, Germany",2023,"Lennard Schmidt, Tobias Kemkes, Jonas Beisswenger  ",AI adoption platform for businesses,https://www.langdock.com/,"We're building a product platform to drive AI adoption within large organizations. We serve more than 900 customers, including companies like Merck KGaA, GetYourGuide, and Der Spiegel."
Langfuse,"Berlin, Germany",2021,"Marc Klingen, Clemens Rawert, Max Deichmann",Open Source LLM Engineering Platform,https://langfuse.com/,"Langfuse is the open-source LLM engineering platform that records every prompt, model response, cost and user reaction, giving teams an integrated console to trace, debug, evaluate and continually improve AI products running in production."
Lightpanda,"Paris, France",2024,"Katie Hallett, Pierre Tachoire, Francis Bouvier",Browser built for agents,https://lightpanda.io/,"Lightpanda is building the Chrome for machines: an ultra-light, headless browser engineered from the ground up for automation and AI."
Linkup,"Paris, France",2024,"Philippe Mizrahi, Boris Toledano, Denis Charrier",Search for AI apps,https://www.linkup.so/,"Power your business applications with the world's most accurate web search and access to fresh, premium content."
Magentic,"London, UK",2024,"Robin Van Aeken, Odhran O'Donoghue",AI teammates for supply chain and procurement teams,https://www.magentic.com/,"Magentic is building the AI Agent Platform for the world’s supply chains. Magentic AI teammates hunt down and deliver savings opportunities for global manufacturers and producers. The platform tackles the messiest, most time‑consuming workflows end‑to‑end, always with humans in the loop. The company"
Manex AI,"Munich, Germany",2023,"Nathan Gruber, Fabian Gruber, Andreas Schoch, Tim Hajek",Optimizing manufacturing with AI,https://www.manex.ai/en,Manex AI builds manufacturing optimization agents to enable autonomous factories.
Mobile First Company,"Paris, France",2023,Jérémy Goillot, Mobile-first business software for SMBs,https://www.themobilefirstcompany.com/,"Building mobile software for SMBs that feels like a consumer app, runs on AI and spreads like a creator brand. Their first product is Allô, an AI phone system for small teams: it screens calls, records and transcribes them & updates the CRM - all while without the user needing to pick up. "
Nexos.ai,"Vilnius, Lithuania",2024,"Tomas Okmanas,  Eimantas Sabaliauskas",All-in-one AI platform for enterprises,https://nexos.ai/,"Starting out as a secure AI orchestration startup, the rapidly growing nexos.ai aims to become the only AI platform enterprises will ever need. Currently, it provides an AI gateway as a unified platform enabling easy access and management of multiple LLMs, as well as an AI workspace  – a secure infr"
Omnia,"Madrid, Spain",2024,Daniel Espejo,Boosting brand presence across AI engines,https://www.useomnia.com/,Monitor AI engine citations and ensure millions of users get access to your products and services
Plakar,"Paris, France",2024,"Julien Mangeard, Gilles Chehade",Open-source back-up,https://plakar.io/,"Plakar is an open-source backup and restore solution that is simple, secure, and efficient. It helps businesses protect their critical data from loss, cyberattacks, or human errors. With encrypted, immutable backups and minimal storage use, Plakar makes data protection reliable and easy to use for m"
Polar,"Stockholm, Sweden",2022,Birk Jernström,Payment infrastructure for the 21st century,https://polar.sh/,Building a monetization platform for developers to empower future unicorns to be built without needing billing engineers
Portia Labs,"London, UK",2022,"Emma Burrows, Mounir Mouawad",AI Agent SDK for regulated industries,https://www.portialabs.ai/,Allow LLMs to share explicit plans in response to your users. Authenticate and steer agents throughout execution. Use our ready tool catalogue for a faster deployment.
Strawberry Browser,"Stockholm, Sweden",2024,"Charles Maddock, Arian Hanifi, Sebastian Thunman",Browser with AI superpowers,https://strawberrybrowser.com/,"A browser that contains a team of AI interns that can do grunt work for you, so you can focus on the work you love and skip the rest."
Sunrise,"Ljubljana, Slovenia",2023,"Tomaz Stolfa, Joe Perrott, Marko Thaler",AI robotics,https://sunriserobotics.co/,"Sunrise is a new kind of robotics company. We don’t just build robots — we shape the future of manufacturing. Our intelligent, autonomous robotic cells transform existing manufacturing processes, effortlessly scale capacity, and empower manufacturers to redeploy their operators to the most valuable "
Superscale,"Berlin, Germany",2024,"Patrick Häde, Magnus Langanke, Sebastian Hader and Founding Team",AI CMO,https://www.superscale.ai/,"Superscale creates marketing content with AI and lets founders, marketeers and operators launch their viral marketing in minutes."
Tandem Health,"Stockholm, Sweden",2023,"Lukas Saari, Oscar Boldt-Christmas",AI note-taking for medicine,https://www.tandemhealth.ai/,Tandem Health develops an AI medical assistant to improve care and enable clinicians to stop spending 40% of their time on admin.
Tracebit,"London, UK",2023,"Sam Cox, Andy Smith",Deploying & maintaining security canaries,https://tracebit.com/,Tracebit detects and contains security incidents. Our mission is to reduce the global mean time to response to an incident from months to minutes with a solution that is quick to deploy and simple to understand.
Vesence,"Stockholm, Sweden",2025,"Henrik Hansson, Ludvig Swanstrom",AI agents for lawyers,https://vesence.com/,AI agents ensuring every project and document meets your firm-wide standards. Made for Transactional Law Firms. Available in Microsoft Office.
Zauber,"Berlin, Germany",2025,Erik Muttersbach,AI agents for supply chain,,In stealth
ZML,"Paris, France",2023,Steeve Morin,High performance inference,https://zml.ai/,"ZML simplifies model serving, ensuring peak performance and maintainability in production."
